# YaV1 aerial-enforcement watchlist
#
# Format: icao_hex,registration,agency,model,source,confidence
# The app reads the first four columns; source/confidence document
# per-entry provenance. Lines starting with '#' are comments. Matching is
# case-insensitive on the ICAO hex (Mode S) address first, then on the
# registration / callsign.
#
# Sources (regenerate with tools/enrich_watchlist.py):
#  - source=faa: FAA Releasable Aircraft Registry
#    (registry.faa.gov/database/ReleasableAircraft.zip), snapshot of
#    2026-07-14. Registrant NAME matched against state-level
#    law-enforcement aviation patterns (HIGHWAY PATROL / STATE PATROL /
#    STATE POLICE / DEPT[ARTMENT] OF PUBLIC SAFETY / PUBLIC SAFETY DEPT /
#    AERIAL ENFORCEMENT) plus county SHERIFF registrants in states with
#    documented aircraft speed enforcement (OH TX AK VA NC FL CA WA);
#    sheriff ROTORCRAFT are excluded outright (metro patrol fleets would
#    swamp the list - e.g. 230 such helicopters matched in the 2026-07
#    snapshot and none are speed-timing platforms).
#    MODE S CODE HEX is the FAA-assigned ICAO 24-bit address. Gliders,
#    balloons and UAVs are excluded, as are FIRE/FORESTRY/EMERGENCY
#    MANAGEMENT/university registrants.
#  - source=pol: github.com/sdr-enthusiasts/plane-alert-db
#    plane-alert-pol.csv (community-curated), same snapshot date: US
#    state police / highway patrol / DPS operators and any aircraft
#    tagged "Speed Enforced by Aircraft" (the tag raises the entry's
#    confidence to high).
#  - source=faa+pol: present in both (FAA data wins for reg/model).
#
# Confidence:
#  - high:   state-level agency fixed-wing (the classic speed-timing
#            platform: Cessna 172/182/206, GA8, PC-12) or explicitly
#            speed-tagged in plane-alert-db
#  - medium: county sheriff fixed-wing in an enforcement state, or
#            state-agency aircraft known only from plane-alert-db
#  - low:    rotorcraft (mostly patrol / medevac; rarely time speed)
#
# Registrations change owners over time - refresh from the FAA registry
# periodically. Users can extend this list in
# <app storage>/aircraft/enforcement_user.csv
A4DB92,N412AD,Georgia Dept Of Public Safety,Bell Helicopter Textron Canada 412EP,faa,low
A5B045,N466DW,Georgia Dept Of Public Safety,Bell Helicopter Textron Canada 407,faa,low
ACCEA4,N924SP,Georgia Dept Of Public Safety,Bell Helicopter Textron Canada 429,faa,low
A8F852,N67715,Georgia State Patrol Aviation Div,Bell 206B,faa,low
A8EA23,N67363,Georgia State Patrol Aviation Division,Bell 206B,faa,low
A32C0B,N303SD,Harris County Sheriff's Office,Cessna 182P,faa,medium
A02B6E,N11SD,Harris County Sheriffs Office,Cirrus Design Corp SR22,faa+pol,high
A00A21,N101TN,Hillsborough County Sheriffs Office,Textron Aviation Inc 208,faa,medium
A24344,N245HC,Hillsborough County Sheriffs Office,Pilatus Aircraft Ltd PC-12/47E,faa,medium
A9697F,N7050F,Houston Police Department,Gippsaero GA-8 Airvan,pol,high
A05916,N121TD,Idaho State Police,Beech C-12,faa,high
A704C0,N551SP,Illinois State Police,Textron Aviation Inc T206H,faa,high
A72C3F,N561SP,Illinois State Police,Cessna 182S,faa,high
A84311,N631SP,Illinois State Police,Dji INSPIRE 1,faa,low
A8B98E,N661SP,Illinois State Police,Textron Aviation Inc T206H,faa,high
AA6E5C,N771SP,Illinois State Police,Textron Aviation Inc T206H,faa,high
AC232A,N881SP,Illinois State Police,Cessna 182S,faa,high
AD88FA,N971SP,Illinois State Police,Cessna 182S,faa,high
ADD7F8,N991SP,Illinois State Police,Cessna 182S,faa,high
A174EE,N193SP,Indiana State Police,Cessna 172P,faa,high
A6D731,N54SP,Indiana State Police,Bell 206L-3,faa,low
A1FCA0,N227SP,Iowa State Patrol,Cirrus Design Corp SR22,faa,high
A20DD5,N231SP,Iowa State Patrol,Cessna 182T,faa,high
ADE930,N996CS,Iowa State Patrol,Cessna T206H,faa,high
A7CC8A,N601SD,Jefferson County Sheriffs Office,Mitsubishi MU-2B-35,faa,medium
A7005D,N550KS,Kansas Highway Patrol,Textron Aviation Inc 525B,faa,high
A7C7FC,N600HP,Kansas Highway Patrol,Textron Aviation Inc 208B,faa,high
A88D77,N650HP,Kansas Highway Patrol,Airbus Helicopters Inc AS350B3,faa,low
A8DC75,N670HP,Kansas Highway Patrol,Airbus Helicopters Inc AS350B3,faa,low
AC6FE9,N900HP,Kansas Highway Patrol,Cessna 206H,faa,high
AD0DE5,N940HP,Kansas Highway Patrol,Cessna 206H,faa,high
AD3564,N950HP,Kansas Highway Patrol,Cessna 206H,faa,high
A1E29F,N220SP,Kentucky State Police,Bell OH-58A,faa+pol,low
A22F44,N24SP,Kentucky State Police,Beech C-12L Huron,pol,medium
A2D707,N282SP,Kentucky State Police,Bell OH-58A,faa,low
A2DABE,N283SP,Kentucky State Police,Bell OH-58A,faa,low
A2DE75,N284SP,Kentucky State Police,Bell 407,faa,low
A2E22C,N285SP,Kentucky State Police,Bell Textron Canada Ltd 429,faa,low
A40B91,N36SP,Kentucky State Police,Gates Learjet Corp. 35A,faa+pol,high
A500F4,N421SP,Kentucky State Police,Md Helicopters Inc 369FF,faa,low
A57161,N45SP,Kentucky State Police,Bell UH-1H,faa,low
A598E0,N46SP,Kentucky State Police,Hughes OH-6A,faa,low
A6AEFC,N53KG,Kentucky State Police,Textron Aviation Inc B300,faa,high
A846DD,N632TK,Kentucky State Police,Cessna 182T,faa,high
A3F68B,N35438,Kern County Sheriffs Department,Cessna T206H,faa,medium
AD81B0,N97E,Kern County Sheriffs Department,Cessna T210N,faa,medium
A97AA3,N71KP,King County Department Of Public Safety,Bell UH-1H,faa,low
A317CD,N299KC,Kings County Sheriff's Office,Cessna T206H,faa,medium
AD723F,N9658X,Kings County Sheriffs Dept,Cessna 182R,faa,medium
A9F12E,N74LC,Lee County Sheriffs Office,Cessna T210L,faa,medium
A84B3C,N6330C,Los Angeles County Sheriffs Department,Cessna 210N,faa,medium
A9D47C,N732WQ,Los Angeles County Sheriffs Department,Cessna T210M,faa,medium
AD35BC,N950MB,Los Angeles County Sheriffs Department,Beech B200,faa,medium
A3FCB5,N356SP,Louisiana Department Of Public Safety,Bell UH-1,faa,low
A4006C,N357SP,Louisiana Department Of Public Safety,Bell 206-L4,faa,low
AD989B,N9750L,Louisiana Department Of Public Safety,Cessna 172P,faa,high
A3F547,N354SP,Louisiana State Police,Bell Textron Canada Ltd 407,faa,low
A3F8FE,N355SP,Louisiana State Police,Bell Textron Canada Ltd 407,faa,low
A65946,N508SP,Louisiana State Police,Bell Helicopter Textron Canada 407,faa,low
A7591F,N57265,Louisiana State Police,Pilatus Aircraft Ltd PC-12/47E,faa,high
AD7057,N965SP,Louisiana State Police,Bell Textron Canada Ltd 429,faa,low
ADC79E,N98708,Madera County Sheriffs Office,Cessna 172P,faa,medium
A6BF32,N5339N,Maine State Police,Cessna 182Q,faa,high
AA3BA4,N759BU,Marin County Sheriffs Office,Cessna 182Q,faa,medium
AC0876,N87461,Marion County Sheriffs Office,Cessna 310R,faa,medium
AC9CE4,N9111G,Maryland State Police,Piper PA-32-301,faa,high
A46018,N381MD,Maryland State Police Aviation Command,Agustawestland Philadelphia AW139,faa+pol,low
A463CF,N382MD,Maryland State Police Aviation Command,Agustawestland Philadelphia AW139,faa+pol,low
A46786,N383MD,Maryland State Police Aviation Command,Agustawestland Philadelphia AW139,faa+pol,low
A46B3D,N384MD,Maryland State Police Aviation Command,Agustawestland Philadelphia AW139,faa+pol,low
A46EF4,N385MD,Maryland State Police Aviation Command,Agustawestland Philadelphia AW139,faa+pol,low
A472AB,N386MD,Maryland State Police Aviation Command,Agustawestland Philadelphia AW139,faa+pol,low
A47662,N387MD,Maryland State Police Aviation Command,Agustawestland Philadelphia AW139,faa+pol,low
A47A19,N388MD,Maryland State Police Aviation Command,Agustawestland Philadelphia AW139,faa+pol,low
A47DD0,N389MD,Maryland State Police Aviation Command,Agustawestland Philadelphia AW139,faa+pol,low
A483E0,N390MD,Maryland State Police Aviation Command,Agusta Spa AW139,faa+pol,low
AB3630,N821SP,Massachusetts State Police,Eurocopter AS350 Squirrel,pol,low
AB399C,N822PP,Massachusetts State Police,Airbus Helicopters Deutschland EC135T3,faa+pol,low
AB3CD4,N823JM,Massachusetts State Police,Airbus Helicopters Deutschland EC135T2+,faa+pol,low
AB3FBF,N824AH,Massachusetts State Police,Eurocopter Deutschland Gmbh EC 135 T2+,faa+pol,low
AB448D,N825MM,Massachusetts State Police,Eurocopter Deutschland Gmbh EC 135 T2+,faa+pol,low
AC4AB8,N891TD,Massachusetts State Police,Textron Aviation Inc 208B,faa,high
AA60E2,N768ST,Mi State Police Field Supp Aviation,Bell UH-1H,faa+pol,low
AB4C7E,N827ST,Mi State Police Field Supp Aviation,Bell UH-1H,faa+pol,low
A4B530,N402MP,Miami-dade Sheriff's Office,Cessna U206G,faa,medium
A4B179,N401MP,Miami-dade Sheriffs Office,Cessna P210N,faa,medium
A539B4,N436DA,Michigan Department Of State Police,Aeryon Labs Inc SKY RANGER,faa,low
A6C703,N536DA,Michigan Department Of State Police,Aeryon Labs Inc SKY RANGER,faa,low
A0FABE,N162ST,Michigan State Police,C90 King Air,pol,medium
